,costToReach,items
The Battlefield (Frat Uniform),0,"['green clay bead (30)', 'floorboard cruft (30)', 'battered hubcap (30)', 'communications windchimes (12)', 'reinforced beaded headband (1)', 'round purple sunglasses (2)', 'bullet-proof corduroys (4)', 'communications windchimes (2)', 'gas balloon (10)', 'gas balloon (10)', 'green clay bead (30)', 'green smoke bomb (5)', 'henna face paint (10)', 'round green sunglasses (5)', 'communications windchimes (3)', 'didgeridooka (33)', 'gas balloon (20)', 'bullet-proof corduroys (1)', 'communications windchimes (3)', 'ferret bait (20)', 'ferret bait (20)', 'Lockenstock&trade; sandals (2)', 'purple clay bead (30)', 'reinforced beaded headband (1)', 'round purple sunglasses (1)', 'water pipe bomb (15)', 'water pipe bomb (15)', 'exploding hacky-sack (20)', 'patchouli oil bomb (20)', 'bullet-proof corduroys (8)', 'hippy protest button (10)', 'oversized pipe (11)', 'reinforced beaded headband (10)', 'round purple sunglasses (10)', 'water pipe bomb (20)', 'wicker shield (5)', 'bullet-proof corduroys (2)', 'communications windchimes (3)', 'didgeridooka (20)', 'Lockenstock&trade; sandals (2)', 'reinforced beaded headband (2)', 'round purple sunglasses (2)', 'tube of dread wax (15)', 'carbonated soy milk (30)', 'communications windchimes (3)', 'flowing hippy skirt (5)', 'funky dried mushroom (20)', 'Gaia beads (19)', 'Lockenstock&trade; sandals (14)', 'bullet-proof corduroys (1)', 'communications windchimes (4)', 'fire poi (30)', 'Lockenstock&trade; sandals (2)', 'reinforced beaded headband (1)', 'round purple sunglasses (1)', 'bullet-proof corduroys (5)', 'communications windchimes (3)', 'oversized pipe (17)', 'pink clay bead (29)', 'reinforced beaded headband (5)', 'round purple sunglasses (5)', 'wicker shield (4)', 'water pipe bomb (10)', 'bullet-proof corduroys (1)', 'communications windchimes (3)', 'fire poi (20)', 'Lockenstock&trade; sandals (1)', 'reinforced beaded headband (1)', 'round purple sunglasses (1)', 'bullet-proof corduroys (6)', 'communications windchimes (2)', 'oversized pipe (17)', 'pink clay bead (31)', 'reinforced beaded headband (6)', 'round purple sunglasses (6)', 'wicker shield (6)', 'water pipe bomb (10)', 'bullet-proof corduroys (5)', 'communications windchimes (3)', 'Hippy Army MPE (52)', 'oversized pipe (13)', 'reinforced beaded headband (6)', 'round purple sunglasses (4)', 'water pipe bomb (38)', 'wicker shield (6)', 'pink clay bead (29)', 'communications windchimes (3)', 'filthy poultice (15)', 'hippy medical kit (18)', 'Lockenstock&trade; sandals (2)', 'natural fennel soda (10)', 'holistic headache remedy (c0)', 'bullet-proof corduroys (10)', 'hippy protest button (10)', 'oversized pipe (11)', 'reinforced beaded headband (11)', 'round purple sunglasses (10)', 'wicker shield (6)', 'water pipe bomb (5)', 'communications windchimes (3)', 'filthy poultice (20)', 'hippy medical kit (32)', 'Lockenstock&trade; sandals (2)', 'natural fennel soda (27)', 'bullet-proof corduroys (10)', 'hippy protest button (10)', 'oversized pipe (10)', 'reinforced beaded headband (10)', 'round purple sunglasses (10)', 'water pipe bomb (5)', 'wicker shield (5)', 'carbonated soy milk (20)', 'communications windchimes (3)', 'funky dried mushroom (15)', 'Gaia beads (15)', 'Lockenstock&trade; sandals (10)', 'bullet-proof corduroys (1)', 'communications windchimes (2)', 'exploding hacky-sack (20)', 'ferret bait (20)', 'Lockenstock&trade; sandals (2)', 'patchouli oil bomb (20)', 'reinforced beaded headband (1)', 'round purple sunglasses (1)', 'water pipe bomb (10)', 'water pipe bomb (10)', 'pink clay bead (30)', 'bullet-proof corduroys (1)', 'communications windchimes (18)', 'communications windchimes (18)', 'communications windchimes (18)', 'Lockenstock&trade; sandals (2)', 'reinforced beaded headband (1)', 'round purple sunglasses (1)', 'green clay bead (30)', 'C.A.R.N.I.V.O.R.E. button (100)', 'Lockenstock&trade; sandals (0)', 'green clay bead (0)', 'green clay bead (100)', 'orange peel hat (100)', 'bullet-proof corduroys (0)', 'Lockenstock&trade; sandals (0)', 'round purple sunglasses (0)', 'bullet-proof corduroys (0)', 'green clay bead (0)', 'Lockenstock&trade; sandals (0)', 'longhaired hippy wig (100)', 'reinforced beaded headband (0)', 'bullet-proof corduroys (0)', 'green clay bead (0)', 'Lockenstock&trade; sandals (0)', ""Slow Talkin' Elliot's dogtags (100)"", 'Lockenstock&trade; sandals (0)', ""Zim Merman's guitar (100)"", 'green clay bead (0)', 'solid gold bowling ball (100)']"
The Beanbat Chamber,0,"['enchanted bean (50)', 'sonar-in-a-biscuit (10)']"
The Penultimate Fantasy Airship,0,"['armgun (9)', 'cocoa eggshell fragment (30)', 'Mohawk wig (10)', 'tiny house (30)', 'cocoa eggshell fragment (20)', 'soft green echo eyedrop antidote (20)', 'tiny house (20)', 'photoprotoneutron torpedo (30)', 'metallic A (30)', 'glowing red eye (16)', 'oversized pizza cutter (8)', 'magilaser blastercannon (10)', 'phonics down (40)', 'ridiculously huge sword (10)', 'super-spiky hair gel (20)', 'ocarina of space (5)', 'amulet of extreme plot significance (10)', 'scroll of drastic healing (30)', 'soft green echo eyedrop antidote (30)', 'Tears of the Quiet Healer (c0)', 'scroll of drastic healing (0)', 'amulet of extreme plot significance (0)', 'soft green echo eyedrop antidote (0)', 'zombie pineal gland (0)', 'cocoa eggshell fragment (30)', 'tiny house (30)', 'titanium assault umbrella (10)']"
The Black Forest,0,"['adder bladder (30)', 'black snake skin (15)', 'sunken eyes (c50)', 'Black No. 2 (20)', 'broken wings (c50)', 'black pension check (30)', 'black picnic basket (15)', 'black label (0)', 'Mornington crescent roll (0)', 'black cloak (0)', ""black friar's tonsure (c0)"", 'black eye shadow (0)', 'little black book (0)', 'black magic powder (c0)', 'blackberry (15)', 'blackberry (15)', 'blackberry (15)']"
The Boss Bat's Lair,0,"['beefy pill (0)', 'batskin belt (100)', 'dense Meat stack (100)', 'Boss Bat britches (c100)', 'boss Bat bling (c100)']"
The Outskirts of Cobb's Knob,0,"[""chef's hat (32)"", 'Knob Goblin tongs (12)', 'Knob Goblin pants (8)', 'Knob Goblin tongs (0)', 'Knob Goblin pants (0)', ""chef's hat (0)"", 'zombie pineal gland (0)', 'viking helmet (32)', 'Knob Goblin pants (8)', 'Knob Goblin scimitar (32)', 'Knob Goblin firecracker (100)', 'Knob Goblin pants (9)', 'strongness elixir (30)', 'folder (cyan) (c0)', 'Knob Goblin Mutagen (c0)', 'bowl of cottage cheese (60)', 'Knob Goblin pants (8)', 'Knob Goblin tongs (20)', 'Colon Annihilation Hot Sauce (p20)']"
The Old Landfill,0,"['funky junk key (0)', 'bent scrap metal (0)', 'Worse Homes and Gardens (c0)', 'funky junk key (0)', 'molten scrap metal (0)', 'Worse Homes and Gardens (c0)', 'funky junk key (0)', 'jagged scrap metal (0)', 'Worse Homes and Gardens (c0)', 'eternal car battery (n100)', 'tie-dyed fannypack (c100)']"
Key Key,0,[]
The Tunnel of L.O.V.E.,0,"['LOV Elixir #3 (c0)', 'LOV Elixir #6 (c0)', 'LOV Elixir #9 (p0)']"
The Castle in the Clouds in the Sky (Ground Floor),0,"['chipotle wasabi cilantro aioli (25)', 'giant artisanal rice peeler (10)', 'giant heirloom grape tomato (15)', 'artisanal hand-squeezed wheatgrass juice (c0)', 'chaos butterfly (20)', 'plot hole (15)', 'probability potion (25)', 'procrastination potion (25)', 'giant turkey leg (10)', 'Ye Olde Bawdy Limerick (25)', 'Ye Olde Meade (15)', 'Ye Olde Medieval Insult (25)']"
The Castle in the Clouds in the Sky (Top Floor),0,"['awful poetry journal (20)', 'thin black candle (25)', 'Warm Subject gift certificate (10)', 'giant tube of black lipstick (c10)', 'thin black candle (0)', 'Warm Subject gift certificate (0)', 'awful poetry journal (0)', 'zombie pineal gland (0)', 'giant safety pin (15)', 'punk rock jacket (10)', 'stolen sushi (30)', 'folder (smiley face) (c0)', 'punk patch (c0)', 'Angry Farmer candy (25)', 'giant needle (20)', ""Mick's IcyVapoHotness Rub (20)"", 'rave whistle (5)', 'brass gear (20)', 'brown felt tophat (5)', 'autocalliope (a0)', 'steampunk potion (c0)', ""Murphy's Rancid Black Flag (n100)""]"
The Oasis,0,"['drum machine (30)', 'palm frond (10)', 'hot date (5)', 'carbonated water lily (10)', ""Hugo's Weaving Manual (c100)"", 'displaced fish (20)', 'palm frond (10)', 'Supernova Champagne (20)', 'wonderwall shield (4)', 'carbonated water lily (10)', 'hot date (5)', 'palm frond (10)', 'handful of moss (20)', 'brown sugar cane (20)', ""mother's little helper (10)"", ""Tuesday's ruby (5)"", 'hot date (5)', ""Colonel Mustard's Lonely Spades Club Jacket (c1)"", ""Corporal Fennel's Lonely Clubs Club Jacket (c1)"", ""General Sage's Lonely Diamonds Club Jacket (c1)"", ""Private Pepper's Lonely Hearts Club Jacket (c1)"", 'savoy truffle (10)', 'rocky raccoon (40)', 'mojo filter (5)', ""Maxwell's Silver Hammer (5)"", 'carbonated water lily (10)', 'palm frond (c10)', 'hot date (5)', 'happiness (5)']"
The Neverending Party,0,"['gas can (0)', 'Middle of the Road&trade; brand whiskey (0)', 'neverending wallet chain (0)', 'pentagram bandana (0)', 'gold skull ring (c0)', 'poppy (30)', 'poppy (10)', 'denim jacket (0)', 'ratty knitted cap (0)', 'van key (0)', 'jam band bootleg (0)', 'unremarkable duffel bag (0)', 'Purple Beast energy drink (0)', 'cosmetic football (0)', 'shoe ad T-shirt (0)', 'pump-up high-tops (c0)', 'runproof mascara (0)', 'very small red dress (0)', 'noticeable pumps (0)', 'surprisingly capacious handbag (0)', 'everfull glass (c0)', 'electronics kit (0)', 'PB&J with the crusts cut off (0)', 'dorky glasses (0)', 'ponytail clip (0)', 'paint palette (c0)']"
Out by that Rusted-Out Car,0,"['gremlin juice (3)', 'gremlin juice (3)', 'molybdenum crescent wrench (c0)', 'gremlin juice (3)', 'molybdenum crescent wrench (c0)', 'gremlin juice (3)', 'molybdenum screwdriver (c0)', 'gremlin juice (3)', 'molybdenum screwdriver (c0)', 'gremlin juice (3)', 'molybdenum screwdriver (c0)']"
The Naughty Sorceress' Chamber,0,['Instant Karma (c100)']
Oil Peak,0,"[""bubblin' crude (100)"", ""bubblin' crude (30)"", ""bubblin' crude (100)"", ""bubblin' crude (30)"", ""bubblin' crude (10)"", ""bubblin' crude (100)"", ""bubblin' crude (100)"", ""bubblin' crude (10)""]"
Next to that Barrel with Something Burning in it,0,"['gremlin juice (3)', 'gremlin juice (3)', 'molybdenum hammer (c0)', 'gremlin juice (3)', 'molybdenum hammer (c0)', 'gremlin juice (3)', 'molybdenum hammer (c0)', 'gremlin juice (3)', 'molybdenum screwdriver (c0)', 'gremlin juice (3)', 'molybdenum screwdriver (c0)']"
McMillicancuddy's Barn,0,[]
The Typical Tavern Cellar,0,"['rat whisker (0)', 'rat whisker (0)', 'rat appendix (0)', 'rat appendix (0)', 'rat appendix (0)', 'rat whisker (100)', 'rat appendix (20)', 'furry pill (0)', 'rat whisker (0)', 'rat whisker (0)', 'rat whisker (0)', 'rat whisker (0)', 'rat appendix (0)', 'rat appendix (0)', 'rat appendix (0)', 'tangle of rat tails (0)', ""Baron von Ratsworth's monocle (c100)"", ""Baron von Ratsworth's money clip (c100)"", ""Baron von Ratsworth's tophat (c100)""]"
The Unquiet Garves,0,"['ghuol ears (20)', 'ghuol egg (20)', 'dieting pill (10)', 'ghuol egg (25)', 'ghuol ears (25)', 'ghuol ears (10)', 'ghuol egg (10)', 'ghuol guolash (20)', 'huge spoon (5)', 'ghuol ears (0)', 'ghuol egg (0)', 'coffin lid (2)', ""dead guy's watch (5)"", 'grave robbing shovel (50)', 'coffin lid (3)', ""dead guy's watch (10)"", 'loose teeth (10)', 'rusty grave robbing shovel (10)', 'paranormal ricotta (c0)', 'salacious crumbs (0)', 'lihc eye (0)', 'lihc eye (0)', 'lihc face (0)', 'lihc eye (30)', 'lihc eye (20)', 'lihc face (9)', 'shimmering tendrils (c5)', 'lihc eye (20)', 'lihc face (7)', 'shimmering tendrils (c5)', 'loose teeth (30)', 'skeleton bone (40)', 'skeleton bone (20)', 'smart skull (50)', 'Smart Bone Dust (c0)', 'coffin lid (3)', ""dead guy's watch (10)"", 'loose teeth (10)', 'rusty grave robbing shovel (10)', 'paranormal ricotta (c0)', 'cranberries (20)', 'loose teeth (50)', 'loose teeth (0)', 'cranberries (0)', 'zombie pineal gland (0)', 'cranberries (25)', 'cranberries (15)', 'loose teeth (10)', 'Grateful Undead T-shirt (c1)', 'paranormal ricotta (c0)', 'cranberries (20)', 'cranberries (20)', 'The Shield of Brook (n100)']"
The Upper Chamber,0,"['leathery cat skin (30)', 'unidentified jerky (10)', 'ancient Magi-Wipes (50)', 'ancient vinyl coin purse (20)', 'mummy wrapping (20)', 'Iiti Kitty phone charm (10)', 'crumbling rat skull (c0)', 'Iiti Kitty Gumdrop (c0)', 'leathery bat skin (30)', 'unidentified jerky (10)', 'mummy wrapping (20)', 'canopic jar (30)', 'ancient protein powder (15)', 'mummy wrapping (20)', 'unidentified jerky (12)', 'ancient ice cream scoop (5)', 'secret mummy herbs and spices (c10)']"
Lair of the Ninja Snowmen,0,"['frigid ninja stars (20)', 'rice bowl (5)', 'chopsticks (5)', 'pentatonic accordion (a0)', 'frigid ninja stars (20)', 'frozen nunchaku (5)', 'icy katana hilt (15)', 'cold ninja mask (10)', 'frigid ninja stars (20)', 'frozen nunchaku (5)', 'frigid ninja stars (20)', 'ninja mop (5)', 'pail (10)', 'ridiculously overelaborate ninja weapon (5)', 'frigid ninja stars (20)', 'frozen nunchaku (5)', 'frigid hanky&#363; (0)', 'frigid mote (p5)', 'ninja rope (n100)', 'ninja crampons (n100)', 'ninja carabiner (n100)', 'The First Pizza (n100)']"
McMillicancuddy's Bog,0,"['fetid feather (10)', 'duct tape (5)', 'fetid feather (10)', 'duct tape (5)']"
McMillicancuddy's Family Plot,0,"['frightful feather (10)', 'duct tape (5)', 'vampire glitter (c0)', 'duct tape (5)', 'frightful feather (10)']"
The VERY Unquiet Garves,0,"['cranberries (25)', 'cranberries (15)', 'loose teeth (10)', 'Grateful Undead T-shirt (c1)', 'paranormal ricotta (c0)', 'coffin lid (3)', ""dead guy's watch (10)"", 'loose teeth (10)', 'rusty grave robbing shovel (10)', 'paranormal ricotta (c0)', 'lihc eye (20)', 'lihc face (9)', 'shimmering tendrils (c5)', 'lihc eye (20)', 'lihc face (7)', 'shimmering tendrils (c5)', 'ghuol ears (10)', 'ghuol egg (10)', 'ghuol guolash (20)', 'huge spoon (5)', 'ghuol ears (20)', 'ghuol egg (20)', 'dieting pill (10)', 'skeleton bone (40)', 'smart skull (50)', 'spiked femur (10)', 'succulent marrow (0)', 'evil eye (20)', 'skelelton spine (c0)', 'loose teeth (20)', 'loose teeth (20)', 'skeleton bone (20)', 'bone flute (10)', 'evil eye (20)', 'bone bandoneon (a0)', 'silver shrimp fork (100)', 'Talisman of Bakula (100)', 'The Shield of Brook (n100)']"
McMillicancuddy's Farm,0,"['bottle of gin (0)', 'bottle of rum (0)', 'bottle of tequila (0)', 'bottle of vodka (0)', 'bottle of whiskey (0)', 'boxed wine (0)', 'duct tape (0)', 'bottle of vodka (20)', 'bottle of tequila (20)', 'bottle of whiskey (20)', 'duct tape (5)', 'frozen feather (10)', 'duct tape (5)', 'flaming feather (10)', 'duct tape (5)', 'frozen feather (10)', 'duct tape (5)', 'flirtatious feather (10)', 'duct tape (5)', 'bottle of vodka (20)', 'bottle of tequila (20)', 'bottle of whiskey (20)', 'duct tape (5)', 'fetid feather (10)', 'duct tape (5)', 'duct tape (6)', 'flaming feather (10)', 'duct tape (5)', 'fetid feather (10)', 'duct tape (5)', 'frightful feather (10)', 'duct tape (5)', 'vampire glitter (c0)', 'duct tape (5)', 'frightful feather (10)']"
McMillicancuddy's Granary,0,['duct tape (6)']
McMillicancuddy's Other Back 40,0,"['flirtatious feather (10)', 'duct tape (5)']"
Inside the Palindome,0,"['ketchup hound (35)', 'leather chaps (15)', 'mesh cap (15)', 'stunt nuts (30)', 'a butt tuba (0)', 'folder (D-Team) (c0)', 'drab sonata (30)', 'guitar pick (15)', 'olive (40)', 'glass of warm milk (c0)', 'accordionoid rocca (a0)', 'bottle of gin (30)', 'olive (40)', 'jumbo olive (10)', 'bat wing (30)', 'batblade (25)', 'batgut (30)', 'enormous belt buckle (25)', 'ketchup hound (35)', 'leather chaps (15)', 'mesh cap (15)', 'stunt nuts (30)', 'cat appendix (30)', 'catgut (30)', 'taco shell (30)', '[2528] (40)', 'gnatwing (40)', 'suntan lotion of moxiousness (50)', 'glass of gnat milk (c0)', 'Drowsy Sword (n100)', 'Staff of Fats (n100)', 'fumble formula (p5)', ""Liam's mail (c100)""]"
McMillicancuddy's Pond,0,"['frozen feather (10)', 'duct tape (5)', 'frozen feather (10)', 'duct tape (5)']"
McMillicancuddy's Shady Thicket,0,"['bottle of gin (0)', 'bottle of rum (0)', 'bottle of tequila (0)', 'bottle of vodka (0)', 'bottle of whiskey (0)', 'boxed wine (0)', 'duct tape (0)', 'bottle of vodka (20)', 'bottle of tequila (20)', 'bottle of whiskey (20)', 'duct tape (5)', 'bottle of vodka (20)', 'bottle of tequila (20)', 'bottle of whiskey (20)', 'duct tape (5)']"
Hippy Camp,0,"['filthy corduroys (5)', 'filthy knitted dread sack (5)', 'windchimes (30)', 'reodorant (5)', 'hippy bongo (5)', 'Spanish fly (c25)', 'hemp string (30)', 'filthy knitted dread sack (3)', 'reodorant (5)', 'filthy corduroys (2)', 'phat turquoise bead (10)', 'beach glass bead (10)', 'clay peace-sign bead (10)', 'hippy bongo (5)', 'Spanish fly (c25)', 'filthy corduroys (3)', 'filthy knitted dread sack (5)', 'filthy pestle (10)', 'herbs (30)', 'reodorant (5)', 'hippy bongo (5)', 'Spanish fly (c25)', 'hemp string (30)', 'filthy knitted dread sack (3)', 'reodorant (5)', 'filthy corduroys (2)', 'phat turquoise bead (10)', 'beach glass bead (10)', 'clay peace-sign bead (10)', 'hippy bongo (5)', 'Spanish fly (c25)', 'filthy corduroys (3)', 'filthy knitted dread sack (5)', 'filthy pestle (10)', 'herbs (30)', 'reodorant (5)', 'hippy bongo (5)', 'Spanish fly (c25)', 'Feng Shui for Big Dumb Idiots (30)', 'filthy corduroys (5)', 'reodorant (5)', 'filthy knitted dread sack (2)', 'hippy bongo (5)', 'Spanish fly (c25)', 'beach glass bead (10)', 'clay peace-sign bead (10)', 'filthy corduroys (5)', 'filthy knitted dread sack (2)', 'hemp string (30)', 'hippy bongo (5)', 'phat turquoise bead (10)', 'reodorant (5)', 'Spanish fly (c25)', 'carob chunks (30)', 'double-barreled sling (5)', 'filthy knitted dread sack (5)', ""Uncle Jick's Brownie Mix (30)"", 'reodorant (5)', 'filthy corduroys (2)', 'filthy pestle (5)', 'Spanish fly (c25)', 'beach glass bead (10)', 'clay peace-sign bead (10)', 'filthy corduroys (5)', 'filthy knitted dread sack (2)', 'hemp string (30)', 'hippy bongo (5)', 'phat turquoise bead (10)', 'reodorant (5)', 'Spanish fly (c25)', 'carob chunks (30)', 'double-barreled sling (5)', 'filthy knitted dread sack (5)', ""Uncle Jick's Brownie Mix (30)"", 'reodorant (5)', 'filthy corduroys (2)', 'filthy pestle (5)', 'Spanish fly (c25)', 'decorative fountain (30)', 'filthy corduroys (2)', 'filthy knitted dread sack (2)', 'patchouli incense stick (30)', 'tambourine bells (15)', 'reodorant (5)', 'double-barreled sling (5)', 'Spanish fly (c25)', 'phat turquoise bead (10)', 'reodorant (5)', 'filthy corduroys (2)', 'filthy knitted dread sack (2)', 'hemp string (30)', 'beach glass bead (10)', 'clay peace-sign bead (10)', 'patchouli incense stick (30)', 'double-barreled sling (5)', 'Spanish fly (c25)', 'tambourine bells (10)', 'wad of tofu (30)', 'reodorant (5)', 'filthy corduroys (2)', 'filthy knitted dread sack (2)', 'filthy pestle (5)', 'patchouli incense stick (30)', 'double-barreled sling (5)', 'Spanish fly (c25)', 'phat turquoise bead (10)', 'reodorant (5)', 'filthy corduroys (2)', 'filthy knitted dread sack (2)', 'hemp string (30)', 'beach glass bead (10)', 'clay peace-sign bead (10)', 'patchouli incense stick (30)', 'double-barreled sling (5)', 'Spanish fly (c25)', 'tambourine bells (10)', 'wad of tofu (30)', 'reodorant (5)', 'filthy corduroys (2)', 'filthy knitted dread sack (2)', 'filthy pestle (5)', 'patchouli incense stick (30)', 'double-barreled sling (5)', 'Spanish fly (c25)']"
Throne Room,0,[]
Haert of the Cyrpt,0,[]
Mist-Shrouded Peak,0,"['yeti fur (30)', ""Groar's fur (100)"", 'dense meat stack (100)', 'dense meat stack (100)', 'dense meat stack (100)', 'dense meat stack (100)', 'dense meat stack (100)']"
Guano Junction,0,"['baseball (30)', 'sonar-in-a-biscuit (10)', 'bat guano (10)', 'briefcase (40)', 'sonar-in-a-biscuit (10)', 'batgut (15)', 'bat wing (15)', 'sonar-in-a-biscuit (10)', 'perpendicular guano (c0)', 'guancertina (a0)', 'broken skull (40)', 'loose teeth (20)', 'sonar-in-a-biscuit (15)', 'smoking talon (c0)', 'sonar-in-a-biscuit (10)', 'wad of dough (30)', 'bat wing (15)', 'batgut (15)', 'sonar-in-a-biscuit (10)']"
Tower Level 1,0,[]
Tower Level 2,0,[]
Tower Level 3,0,[]
Tower Level 5,0,[]
The Themthar Hills,0,['brigand brittle (c0)']
Near an Abandoned Refrigerator,0,"['gremlin juice (3)', 'gremlin juice (3)', 'molybdenum hammer (c0)', 'gremlin juice (3)', 'molybdenum hammer (c0)', 'gremlin juice (3)', 'molybdenum pliers (c0)', 'gremlin juice (3)', 'molybdenum pliers (c0)', 'gremlin juice (3)', 'molybdenum pliers (c0)']"
Twin Peak,0,"['rusty hedge trimmers (15)', 'pestopiary (15)', 'badge of authority (5)', 'vial of The Glistening (15)', 'dress pants (5)', 'that gum you like (25)', 'creepy ginger ale (15)', 'stolen necklace (5)', 'fireclutch (c30)', 'rusty hedge trimmers (15)', 'pestopiary (15)', 'artisanal limoncello (15)', 'giant motorcycle boots (5)', 'rusty hedge trimmers (15)', 'pestopiary (15)', 'incredible pizza (5)', 'troll britches (5)']"
The Copperhead Club,0,"['handful of tips (20)', 'unnamed cocktail (15)', 'unrequired jacket (0)', 'electric copperhead potion (c0)', 'blowdart (20)', 'red silk skirt (5)', 'combat fan (5)', 'dancing fan (c0)', 'tommy gun (5)', 'drum of tommy ammo (30)', 'drum of tommy ammo (20)', 'Crimbuck', 'herringcello', 'penguin focaccia bread', 'crappy waiter disguise (30)', 'throwing knife (10)', 'throwing fork (10)', 'throwing spoon (10)', 'ninja fear powder (c0)', 'crappy waiter disguise (20)', 'shuriken salad (15)', 'breadchucks (10)', 'ninja eyeblack (c0)']"
McMillicancuddy's Back 40,0,"['flaming feather (10)', 'duct tape (5)', 'flaming feather (10)', 'duct tape (5)']"
The Haunted Gallery,0,"['pitchfork (5)', 'broken sword (5)', '4-dimensional guitar (5)', 'non-Euclidean non-accordion (a0)', 'antique greaves (10)', 'antique helmet (10)', 'antique spear (10)', 'antique shield (10)', 'serpentine sword (5)', 'snake shield (5)', 'lupine sword (5)', 'snarling wolf shield (5)', ""Elizabeth's Dollie (100)"", ""Elizabeth's paintbrush (100)"", 'Carpathian longsword (c100)']"
